[2025-05-25 10:18:21,892: INFO: main: Welcome to our custom log]
[2025-05-26 14:18:05,680: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-26 14:19:21,488: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-26 14:19:21,517: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-26 14:22:53,446: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-26 14:22:53,455: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-26 14:22:53,478: INFO: common: created directory at : artifacts]
[2025-05-26 14:22:53,495: INFO: common: created directory at : artifacts/data_ingestion]
[2025-05-26 14:22:53,503: INFO: 2458407410: Downloading data from https://drive.google.com/file/d/1v1hZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-26 14:23:43,219: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-26 14:23:43,223: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-26 14:23:43,225: INFO: common: created directory at : artifacts]
[2025-05-26 14:23:43,227: INFO: common: created directory at : artifacts/data_ingestion]
[2025-05-26 14:23:43,229: INFO: 2458407410: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-26 16:33:22,668: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-26 16:33:22,691: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-26 16:33:22,695: INFO: common: created directory at : artifacts]
[2025-05-26 16:33:22,702: INFO: common: created directory at : artifacts/data_ingestion]
[2025-05-26 16:33:22,706: INFO: 2083002066: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-26 16:45:57,599: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-26 16:45:57,614: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-26 16:45:57,621: INFO: common: created directory at : artifacts]
[2025-05-26 16:45:57,626: INFO: common: created directory at : artifacts/data_ingestion]
[2025-05-26 16:45:57,631: INFO: 2083002066: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
